# Year, Class 1, Class 2, Class 3, Class 4, Class 5
1.986000000000000000e+03,1.295840000000000000e+06,1.137617000000000000e+06,3.979360000000000000e+05,6.799080000000000000e+05,2.476200000000000000e+05
1.996000000000000000e+03,1.252350000000000000e+06,1.064788000000000000e+06,3.826390000000000000e+05,5.510190000000000000e+05,5.081240000000000000e+05
2.006000000000000000e+03,9.349980000000000000e+05,8.303160000000000000e+05,3.625360000000000000e+05,8.600250000000000000e+05,7.710440000000000000e+05
2.016000000000000000e+03,6.204900000000000000e+05,7.406700000000000000e+05,4.883680000000000000e+05,7.925610000000000000e+05,1.116831000000000000e+06
